project,street,marketSegment,area,floorRange,noOfUnits,contractDate,typeOfSale,price,propertyType,district,typeOfArea,tenure,x,y,nettPrice
LANDED HOUSING DEVELOPMENT,ZEHNDER ROAD,RCR,308,-,1,0921,3,5200000,Semi-detached,05,Land,Freehold,,,
LANDED HOUSING DEVELOPMENT,ZEHNDER ROAD,RCR,228.4,-,1,0724,3,5188888,Semi-detached,05,Land,Freehold,,,
LANDED HOUSING DEVELOPMENT,NEO PEE TECK LANE,RCR,257,-,1,0522,3,4600000,Terrace,05,Land,Freehold,20862.4977,30526.52507,
AUREA,BEACH ROAD,CCR,59,11-15,1,0526,1,1850000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,21-25,1,0925,1,2065000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,167,26-30,1,0525,1,6010945,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,60,16-20,1,0825,1,1870000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,93,11-15,1,0226,1,2719000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,93,06-10,1,0226,1,2650000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,59,06-10,1,1025,1,1783000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,59,06-10,1,1125,1,1804000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,167,16-20,1,1225,1,5684616,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,06-10,1,1125,1,1971000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,01-05,1,0226,1,1939014,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,302,36-40,1,0625,1,12000000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,59,06-10,1,1125,1,1798000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,134,11-15,1,0325,1,4267850,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,93,11-15,1,0325,1,2911440,Apartment,07,Strata,99 yrs lease commencing from 2024,,,2796440
AUREA,BEACH ROAD,CCR,93,16-20,1,0325,1,2999039,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,59,06-10,1,1025,1,1777000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,26-30,1,0725,1,2100000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,59,06-10,1,1025,1,1792000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,167,21-25,1,0325,1,5795300,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,167,21-25,1,0325,1,5869248,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,167,21-25,1,0325,1,5867210,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,167,26-30,1,0325,1,6091865,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,134,11-15,1,0325,1,4311115,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,134,11-15,1,0325,1,4239205,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,16-20,1,0325,1,2049605,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,11-15,1,0325,1,1981435,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,11-15,1,0325,1,1963752,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,06-10,1,0325,1,1958655,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,16-20,1,0325,1,1959796,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,06-10,1,0325,1,1943780,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,11-15,1,0325,1,1999880,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,11-15,1,0325,1,1975740,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,06-10,1,0325,1,1949475,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,60,06-10,1,0325,1,1927885,Apartment,07,Strata,99 yrs lease commencing from 2024,,,1857885
AUREA,BEACH ROAD,CCR,60,06-10,1,0325,1,1911735,Apartment,07,Strata,99 yrs lease commencing from 2024,,,1841735
AUREA,BEACH ROAD,CCR,93,16-20,1,0325,1,2886574,Apartment,07,Strata,99 yrs lease commencing from 2024,,,2771574
AUREA,BEACH ROAD,CCR,93,16-20,1,0325,1,3016225,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,93,21-25,1,0325,1,3111340,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,93,06-10,1,0325,1,2861015,Apartment,07,Strata,99 yrs lease commencing from 2024,,,2746015
AUREA,BEACH ROAD,CCR,60,11-15,1,0126,1,1864000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,59,11-15,1,0126,1,1810000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,06-10,1,0226,1,1965000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,26-30,1,0226,1,2090000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,31-35,1,0226,1,2078000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,59,11-15,1,0226,1,1822000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,93,11-15,1,0725,1,2728000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,60,11-15,1,1225,1,1846000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,60,16-20,1,0126,1,1905000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,93,06-10,1,0126,1,2674000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,60,01-05,1,0825,1,1795000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,59,01-05,1,0825,1,1771000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,59,11-15,1,0126,1,1816000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,60,06-10,1,0126,1,1828000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,16-20,1,0726,1,2055000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,93,16-20,1,0426,1,3040720,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,16-20,1,0526,1,2060000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,60,06-10,1,0426,1,1831400,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,59,11-15,1,0426,1,1837268,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,21-25,1,0426,1,2101100,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,60,06-10,1,0326,1,1852600,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,93,11-15,1,0326,1,2728300,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,93,06-10,1,0326,1,2701312,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,21-25,1,0726,1,2078000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,26-30,1,0326,1,2095570,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,11-15,1,0326,1,1968000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,93,06-10,1,0326,1,2719200,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,60,01-05,1,0726,1,1805900,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,60,11-15,1,0626,1,1863600,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,93,11-15,1,0326,1,2710026,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,60,11-15,1,0326,1,1858000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
TURQUOISE,COVE DRIVE,CCR,195,01-05,1,1121,3,3145820,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,199,01-05,1,0921,3,3083590,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,195,01-05,1,0921,3,3157910,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,194,01-05,1,0921,3,3177660,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,194,01-05,1,1021,3,3228150,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,200,01-05,1,1221,3,3450000,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,199,01-05,1,1121,3,3140000,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,196,01-05,1,0921,3,2852170,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,199,01-05,1,0122,3,3108150,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,226,01-05,1,0122,3,4169770,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,223,01-05,1,0422,3,4049560,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,224,01-05,1,0522,3,4068160,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,224,01-05,1,0322,3,3254850,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,224,01-05,1,0422,3,3254850,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,199,01-05,1,0122,3,3071880,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,290,06-10,1,0222,3,4448210,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,239,01-05,1,1022,3,3399680,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,225,01-05,1,0322,3,4127920,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,202,01-05,1,0223,3,3150000,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,201,01-05,1,0922,3,3232310,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,282,01-05,1,0822,3,4650000,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,305,06-10,1,1222,3,4630000,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,249,01-05,1,0123,3,4609400,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,225,01-05,1,1022,3,4115830,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,201,01-05,1,1223,3,3380000,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,215,01-05,1,0524,3,3500000,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,238,01-05,1,0524,3,4397000,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,201,01-05,1,0124,3,3000000,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,249,01-05,1,1023,3,4610000,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,641,06-10,1,1024,3,9000000,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,223,01-05,1,0925,3,3298000,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,232,01-05,1,0625,3,3500000,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,238,01-05,1,0925,3,3800000,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,194,01-05,1,0825,3,3100000,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,232,01-05,1,0525,3,3051000,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
TURQUOISE,COVE DRIVE,CCR,742,06-10,1,1225,3,12000000,Condominium,04,Strata,99 yrs lease commencing from 2007,28382.47067,25008.33592,
LANDED HOUSING DEVELOPMENT,BUKIT TERESA ROAD,RCR,227.7,-,1,0626,3,4900000,Terrace,04,Land,Freehold,,,
ARTRA,ALEXANDRA VIEW,RCR,77,31-35,1,0326,3,2050000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,104,21-25,1,0921,2,2228000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,97,11-15,1,1121,2,2150000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,73,11-15,1,1121,2,1545000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,73,26-30,1,0522,2,1650000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,77,06-10,1,0622,2,1680000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,73,16-20,1,0322,2,1520000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,77,16-20,1,0622,2,1800000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,77,06-10,1,0922,2,1700000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,77,06-10,1,0922,2,1700000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,77,26-30,1,0922,2,1838000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,77,31-35,1,0123,2,1920000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,73,21-25,1,0822,2,1635000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,97,11-15,1,1022,2,2310000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,104,36-40,1,0323,2,2538000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,114,06-10,1,0523,2,2380000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,131,31-35,1,0623,2,2870000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,73,36-40,1,0623,2,1760000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,73,11-15,1,0724,3,1810000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,73,31-35,1,0823,2,1778000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,114,31-35,1,1023,2,2770000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,77,36-40,1,1023,2,1970000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,73,06-10,1,1223,2,1780000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,97,26-30,1,0924,3,2472000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,97,06-10,1,0424,3,2428888,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,77,36-40,1,0424,3,1960000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,114,31-35,1,0823,2,2780000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,73,21-25,1,1224,3,1860000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,73,31-35,1,0923,2,1850000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,104,31-35,1,0524,3,2560000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,114,36-40,1,0724,3,2985000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,97,31-35,1,0124,2,2500000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,114,31-35,1,1223,2,2850000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,73,16-20,1,0324,2,1785000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,73,11-15,1,0924,3,1836000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,77,36-40,1,0424,2,1940000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,77,16-20,1,0824,3,1920000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,97,36-40,1,0924,3,2510000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,77,26-30,1,0724,3,1950000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,77,26-30,1,0724,3,1980000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,97,21-25,1,0724,3,2460000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,114,31-35,1,1023,2,2800000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,97,16-20,1,0823,2,2450000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,77,11-15,1,0624,3,1880000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,73,11-15,1,0923,2,1818888,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,77,21-25,1,1124,3,1910000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,77,06-10,1,1024,3,1868888,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,114,36-40,1,1223,2,2950000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,114,41-45,1,1123,2,2928888,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,104,16-20,1,0823,2,2520000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,97,31-35,1,0724,3,2650000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,77,41-45,1,0724,3,1950000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,73,06-10,1,0425,3,1800000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,104,26-30,1,0925,3,2700000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,73,41-45,1,0225,3,1938000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,114,06-10,1,0525,3,2745000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,114,36-40,1,1225,3,3100000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,114,41-45,1,1125,3,3100000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,114,21-25,1,0625,3,2930000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,73,06-10,1,0425,3,1840000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,73,16-20,1,0425,3,1854000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,77,11-15,1,0325,3,1990000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,104,26-30,1,0325,3,2630000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,77,16-20,1,0825,3,1938000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,97,11-15,1,0525,3,2520000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,77,21-25,1,0425,3,1918000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,114,26-30,1,0625,3,2880000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,97,31-35,1,0725,3,2638000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,131,31-35,1,0325,3,3320000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,97,36-40,1,0925,3,2625000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,77,36-40,1,0526,3,2100000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,97,36-40,1,0426,3,2750000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,97,16-20,1,0726,3,2580000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,114,31-35,1,0626,3,3110000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,114,26-30,1,0626,3,3040000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,77,21-25,1,0826,3,1988888,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,73,31-35,1,0626,3,1945000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,114,06-10,1,0726,3,2900000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
ARTRA,ALEXANDRA VIEW,RCR,77,16-20,1,0726,3,1960000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
